frequency, n1, n2, n3, n4, n5, n6 
1, 11,13,25,59,61,87
1, 5,13,28,30,42,63
1, 3,17,48,76,77,90
1, 23,25,30,44,51,68
1, 37,38,43,69,79,86
1, 21,36,38,72,79,82
1, 2,41,63,64,67,73
1, 19,28,48,52,82,89
1, 28,33,42,54,76,79
1, 1,7,42,49,77,88
1, 9,12,13,30,48,86
1, 1,2,14,23,78,88
1, 25,28,29,54,74,88
1, 4,5,18,35,40,90
1, 9,15,27,54,76,86
1, 4,19,31,51,56,57
1, 12,41,42,44,80,86
1, 29,82,83,84,87,89
1, 1,31,54,80,81,85
1, 17,23,33,44,46,69
1, 7,52,57,65,83,85
1, 4,12,15,37,53,83
1, 8,39,40,57,69,81
1, 2,9,13,34,46,63
1, 3,4,22,43,65,67
1, 7,24,30,59,66,89
1, 6,21,29,43,80,89
1, 11,29,56,63,88,90
1, 9,15,22,56,61,86
1, 46,49,50,57,68,69
1, 7,32,49,55,61,83
1, 16,26,48,61,63,87
1, 6,13,17,49,51,83
1, 5,39,61,75,79,90
1, 8,16,25,28,57,68
1, 23,25,43,50,51,61
1, 31,34,52,54,78,82
1, 3,9,14,55,62,83
1, 25,39,43,46,59,67
1, 11,30,51,54,88,90
1, 17,19,40,43,72,84
1, 1,28,34,42,49,77
1, 34,69,70,73,82,90
1, 1,28,29,68,84,85
1, 31,37,45,52,74,83
1, 17,51,67,70,82,86
1, 6,29,54,62,72,80
1, 38,40,41,69,76,81
1, 29,32,35,49,69,71
1, 3,32,39,65,75,76
1, 30,45,66,69,75,80
1, 28,33,49,55,59,76
1, 27,32,55,65,76,86
1, 20,45,59,75,84,90
1, 13,16,22,30,52,87
1, 24,26,33,36,38,73
1, 10,21,30,45,55,57
1, 3,6,21,24,37,48
1, 57,66,68,70,74,86
1, 20,24,26,33,42,80
1, 8,18,26,36,41,52
1, 12,24,40,42,70,84
1, 51,57,58,69,86,89
1, 31,43,67,69,76,80
1, 14,24,33,41,53,82
1, 15,16,34,74,85,87
1, 14,20,40,58,68,84
1, 23,35,44,49,66,84
1, 4,11,15,26,58,68
1, 13,27,40,46,70,84
1, 3,25,39,50,53,67
1, 8,25,28,57,71,72
1, 9,12,28,71,82,85
1, 24,35,37,63,81,85
1, 6,15,21,27,49,85
1, 2,32,49,52,54,80
1, 19,26,28,45,86,88
1, 12,24,26,50,65,69
1, 3,46,64,71,78,87
1, 15,46,47,67,73,90
1, 38,39,46,74,85,89
1, 17,41,42,43,66,76
1, 25,37,43,50,58,60
1, 12,18,43,47,50,83
1, 6,15,16,50,62,82
1, 3,6,20,46,50,80
1, 15,19,25,33,40,68
1, 22,39,51,78,83,84
1, 34,37,38,39,59,90
1, 1,7,38,58,62,78
1, 13,26,30,34,83,86
1, 8,13,24,39,57,77
1, 1,20,21,27,44,75
1, 28,52,57,71,81,87
1, 7,29,57,60,79,87
1, 2,16,19,47,49,57
1, 28,35,36,62,66,70
1, 15,23,59,65,78,82
1, 15,17,25,31,85,87
1, 9,36,52,76,77,90
1, 11,21,53,62,63,68
1, 52,55,65,75,79,81
1, 10,14,18,22,48,68
1, 6,21,37,55,84,88
1, 9,17,37,51,70,78
1, 37,42,47,49,53,63
1, 15,17,47,53,64,80
1, 2,21,33,38,45,46
1, 23,32,33,55,84,90
1, 18,28,34,46,66,82
1, 43,45,80,81,83,86
1, 19,22,44,61,66,75
1, 6,18,36,75,81,83
1, 5,33,47,61,64,70
1, 14,17,38,58,60,81
1, 19,25,49,53,81,84
1, 14,22,24,34,60,85
1, 29,40,57,67,76,79
1, 40,42,54,66,77,86
1, 12,13,38,46,47,72
1, 2,19,22,46,51,54
1, 41,50,54,60,75,88
1, 22,36,65,72,82,86
1, 15,17,53,67,75,81
1, 37,60,64,73,80,84
1, 13,14,56,58,79,82
1, 17,38,48,51,55,62
1, 13,18,23,29,58,88
1, 16,29,32,40,48,70
1, 2,11,37,45,48,66
1, 22,35,36,44,74,75
1, 26,47,49,66,86,88
1, 4,7,12,20,74,89
1, 24,40,53,60,63,68
1, 1,3,5,41,62,76
1, 45,60,67,69,70,87
1, 27,35,47,48,59,79
1, 6,17,31,33,43,66
1, 10,11,13,37,81,84
1, 10,34,44,49,62,79
1, 3,13,39,40,49,75
1, 1,32,37,68,81,88
1, 18,54,62,80,88,90
1, 6,24,55,67,70,75
1, 18,45,47,56,77,78
1, 15,37,38,57,76,87
1, 25,33,64,67,68,73
1, 2,3,9,30,33,56
1, 14,21,34,37,66,73
1, 9,15,25,40,44,71
1, 2,27,33,47,53,86
1, 21,30,32,41,47,67
1, 2,17,60,77,85,86
1, 48,59,65,69,84,90
1, 18,47,55,64,74,89
1, 18,54,56,58,62,66
1, 4,8,38,60,82,89
1, 9,23,36,66,67,77
1, 2,6,26,42,55,86
1, 29,30,38,54,66,78
1, 6,21,41,72,73,80
1, 8,28,44,57,85,88
1, 12,18,47,63,75,81
1, 16,29,38,62,72,84
1, 5,17,44,62,80,88
1, 24,27,38,40,56,81
1, 2,57,62,63,73,87
1, 9,16,22,25,26,70
1, 27,29,58,64,67,80
1, 6,20,25,42,57,80
1, 1,49,51,60,83,84
1, 24,30,42,54,84,85
1, 1,34,42,50,70,72
1, 9,25,37,73,80,81
1, 12,32,48,68,70,85
1, 2,4,25,34,61,66
1, 5,11,24,26,49,68
1, 12,19,51,61,62,90
1, 9,17,27,29,59,67
1, 3,9,30,58,60,88
1, 15,21,28,75,81,86
1, 20,28,56,62,63,76
1, 8,25,26,38,66,79
1, 6,25,34,72,76,82
1, 5,34,55,58,74,90
1, 10,23,47,63,70,81
1, 6,25,29,44,68,74
1, 32,35,44,58,82,90
1, 19,25,31,78,83,88
1, 4,6,19,40,60,79
1, 31,38,49,54,62,76
1, 6,8,15,52,67,86
1, 15,24,32,52,68,71
1, 32,42,55,74,78,88
1, 3,9,12,36,71,85
1, 8,38,39,52,64,70
1, 7,15,60,72,77,90
1, 12,20,26,41,70,78
1, 21,28,29,36,45,54
1, 13,28,36,45,59,65
1, 2,4,16,20,29,53
1, 15,25,26,32,51,61
1, 18,26,45,67,70,90
1, 23,32,33,47,63,81
1, 9,27,47,58,62,71
1, 1,7,22,72,79,82
1, 10,50,53,78,82,86
1, 4,16,17,52,62,67
1, 2,19,22,41,77,89
1, 19,32,33,66,75,78
1, 2,5,36,61,86,88
1, 2,16,38,67,70,84
1, 12,50,55,62,67,88
1, 22,31,63,76,78,79
1, 8,10,22,72,87,90
1, 36,38,40,51,53,71
1, 32,45,69,77,83,87
1, 11,17,20,36,57,72
1, 11,31,43,70,74,80
1, 6,9,42,48,81,87
1, 7,56,66,72,73,90
1, 4,19,32,58,73,87
1, 10,35,39,57,61,75
1, 3,4,7,44,52,89
1, 10,23,35,64,74,90
1, 2,11,17,33,79,87
1, 27,31,35,53,54,78
1, 18,28,31,33,55,78
1, 7,10,50,51,80,85
1, 3,45,49,53,58,77
1, 17,36,48,55,63,70
1, 19,36,44,46,51,89
1, 9,19,52,68,70,74
1, 9,16,48,70,75,77
1, 9,10,63,73,79,90
1, 14,18,34,48,49,74
1, 1,44,67,77,88,90
1, 8,24,52,73,84,86
1, 3,11,18,30,51,85
1, 4,47,76,78,81,86
1, 26,30,32,36,44,61
1, 15,17,34,59,83,86
1, 10,23,31,35,61,87
1, 5,11,44,57,86,90
1, 28,42,62,64,79,80
1, 11,16,21,62,70,84
1, 5,15,17,31,32,40
1, 10,11,35,42,52,89
1, 16,21,38,44,67,87
1, 4,14,16,44,76,77
1, 7,19,29,33,40,88
1, 16,47,55,57,70,85
1, 10,22,24,45,67,76
1, 16,36,54,55,63,69
1, 5,37,38,59,71,80
1, 1,17,30,43,67,82
1, 33,41,44,48,68,75
1, 6,32,50,57,59,61
1, 3,9,14,26,47,79
1, 6,34,45,46,59,73
1, 46,66,68,70,78,79
1, 27,32,55,68,72,75
1, 10,23,27,39,70,82
1, 11,61,64,76,82,87
1, 2,5,7,12,23,42
1, 2,3,49,51,63,79
1, 12,37,46,54,58,79
1, 1,6,32,50,51,81
1, 14,17,39,47,58,85
1, 25,37,54,63,70,76
1, 17,20,41,42,49,81
1, 39,55,62,77,82,88
1, 9,13,17,47,63,81
1, 24,46,57,73,79,81
1, 23,31,62,65,69,89
1, 22,23,24,59,63,81
1, 13,28,45,58,70,86
1, 3,26,39,41,56,61
1, 1,14,26,49,71,89
1, 6,20,58,59,65,88
1, 10,29,32,43,56,90
1, 24,45,49,63,78,83
1, 18,20,46,47,55,66
1, 24,27,35,43,64,88
1, 11,20,56,69,72,76
1, 28,57,61,69,78,83
1, 3,26,33,44,48,49
1, 26,28,55,61,62,85
1, 4,33,34,44,52,63
1, 3,5,51,55,82,83
1, 21,30,33,45,62,70
1, 10,28,40,57,58,78
1, 4,9,10,76,78,87
1, 22,28,32,57,58,85
1, 8,11,17,20,21,80
1, 2,41,62,75,79,87
1, 23,26,34,35,71,84
1, 16,49,59,67,71,82
1, 12,23,48,70,85,86
1, 1,14,17,47,61,66
1, 7,30,40,58,75,79
1, 46,49,61,69,74,82
1, 1,4,25,44,82,89
1, 4,18,20,68,72,77
1, 7,44,48,51,64,83
1, 6,11,13,48,72,77
1, 14,17,62,75,76,85
1, 2,16,20,26,31,33
1, 12,32,54,63,64,85
1, 1,4,8,47,74,87
1, 2,16,42,67,75,87
1, 11,26,45,53,69,75
1, 36,61,75,81,82,89
1, 17,19,28,34,38,82
1, 32,45,56,74,87,89
1, 24,40,43,51,53,88
1, 6,13,41,71,75,86
1, 1,51,53,55,73,86
1, 1,3,29,63,72,85
1, 3,12,32,43,51,58
1, 28,33,39,40,80,89
1, 17,21,29,33,43,62
1, 22,43,56,71,77,83
1, 5,14,37,38,50,72
1, 8,48,65,72,83,88
1, 12,33,40,52,53,85
1, 2,14,17,21,22,26
1, 1,31,39,60,62,84
1, 19,25,31,56,82,90
1, 1,64,67,68,79,90
1, 6,36,49,51,52,76
1, 9,11,70,74,75,84
1, 1,4,10,24,55,90
1, 4,39,62,67,69,78
1, 1,6,11,27,65,80
1, 33,43,59,77,83,86
1, 1,16,22,54,73,76
1, 1,32,36,61,78,80
1, 16,18,20,26,32,35
1, 7,18,44,48,51,63
1, 33,40,44,54,64,85
1, 8,30,39,66,69,78
1, 1,16,17,31,42,70
1, 4,15,21,35,59,73
1, 1,4,14,41,44,82
1, 26,27,31,69,78,85
1, 10,13,21,36,66,69
1, 8,16,20,23,47,56
1, 6,17,23,55,56,68
1, 10,43,55,56,81,87
1, 6,36,52,68,80,81
1, 16,20,27,31,32,77
1, 5,55,68,69,70,76
1, 16,29,32,53,61,72
1, 7,14,15,17,57,66
1, 4,17,34,41,66,78
1, 15,36,39,50,57,76
1, 9,11,29,41,67,70
1, 18,19,36,39,58,88
1, 26,33,35,45,54,61
1, 4,26,34,66,67,81
1, 39,50,55,57,78,82
1, 11,25,36,49,53,85
1, 1,11,24,33,36,80
1, 4,5,29,58,71,84
1, 38,42,45,69,86,90
1, 16,37,49,52,53,82
1, 3,33,51,55,73,84
1, 11,34,55,63,87,89
1, 13,14,24,29,73,79
1, 19,22,46,49,72,85
1, 16,24,34,40,41,57
1, 19,26,30,47,69,81
1, 13,18,26,37,46,48
1, 8,51,52,60,83,88
1, 14,18,22,27,39,58
1, 14,19,20,26,79,82
1, 5,22,24,36,85,86
1, 12,14,19,38,41,45
1, 6,34,35,54,62,84
1, 29,42,49,52,53,67
1, 1,4,42,67,75,77
1, 17,25,32,42,71,85
1, 21,39,71,76,89,90
1, 4,31,52,73,76,84
1, 6,16,30,53,60,71
1, 22,29,57,72,85,89
1, 15,17,24,41,70,87
1, 3,5,16,54,58,68
1, 14,38,41,58,65,75
1, 7,21,36,38,77,79
1, 3,10,40,54,69,85
1, 14,47,48,58,60,69
1, 16,31,53,63,70,81
1, 22,26,58,60,67,88
1, 3,38,44,50,53,70
1, 12,20,22,39,55,72
1, 13,24,52,53,88,90
1, 21,25,36,51,82,90
1, 4,18,30,69,73,74
1, 10,26,32,41,42,54
1, 1,6,12,26,57,70
1, 7,15,17,18,26,53
1, 4,39,43,59,74,90
1, 20,53,55,61,64,74
1, 1,3,6,21,85,90
1, 4,6,8,14,21,28
1, 14,39,53,55,73,87
1, 28,32,45,61,63,76
1, 37,47,51,54,78,82
1, 2,8,43,48,60,67
1, 5,10,31,53,56,61
1, 12,25,30,33,38,84
1, 1,25,26,28,53,79
1, 4,19,47,60,73,84
1, 12,20,28,57,74,85
1, 5,22,49,63,65,66
1, 2,6,12,17,19,63
1, 17,29,63,66,70,89
1, 6,42,43,46,53,70
1, 1,2,26,31,42,64
1, 6,10,69,78,83,86
1, 33,38,47,67,68,81
1, 38,46,53,65,77,84
1, 12,29,43,56,60,75
1, 14,35,37,52,66,72
1, 30,41,47,71,79,86
1, 28,36,59,79,84,88
1, 1,17,46,58,67,75
1, 2,4,14,31,43,61
1, 1,11,20,66,69,88
1, 17,26,70,76,82,90
1, 12,25,49,53,67,73
1, 1,6,23,52,58,65
1, 8,14,36,71,74,87
1, 3,11,38,59,67,74
1, 15,37,40,47,64,81
1, 15,19,33,35,62,68
1, 22,27,29,49,69,87
1, 7,15,17,26,36,54
1, 50,62,68,70,74,80
1, 12,41,52,55,84,85
1, 50,53,66,69,70,90
1, 1,38,54,63,66,74
1, 28,44,51,72,81,90
1, 20,55,59,73,87,90
1, 6,33,35,64,66,77
1, 14,33,35,46,50,66
1, 10,29,53,73,78,83
1, 6,39,50,52,54,88
1, 5,7,20,25,38,59
1, 23,30,46,64,70,86
1, 40,55,64,65,70,85
1, 12,35,47,56,74,87
1, 3,36,53,64,80,90
1, 28,32,52,74,79,80
1, 65,72,74,79,87,90
1, 6,13,19,37,67,72
1, 8,26,32,40,62,88
1, 2,19,25,59,84,88
1, 1,9,32,56,71,79
1, 10,11,18,36,47,85
1, 16,29,39,49,59,64
1, 3,15,46,67,75,78
1, 11,44,56,81,83,87
1, 21,35,39,54,62,85
1, 18,22,23,57,60,69
1, 6,11,12,28,59,79
1, 18,28,40,63,68,86
1, 1,16,32,51,60,61
1, 9,17,20,32,35,56
1, 13,15,48,50,74,83
1, 10,37,44,56,60,89
1, 7,20,21,74,75,81
1, 6,7,13,35,56,87
1, 30,40,51,52,54,74
1, 4,35,48,57,69,90
1, 2,12,57,62,64,71
1, 22,34,53,59,62,88
1, 13,17,19,21,69,73
1, 5,27,37,63,67,77
1, 3,5,9,41,58,62
1, 1,14,38,77,80,89
1, 11,16,17,25,61,72
1, 25,60,62,76,82,87
1, 18,22,55,58,62,89
1, 5,27,30,58,78,82
1, 16,19,29,34,48,64
1, 8,11,17,27,62,84
1, 17,42,62,67,77,79
1, 27,41,44,50,68,73
1, 23,37,47,79,80,83
1, 12,41,45,51,66,77
1, 2,5,34,56,72,73
1, 4,41,43,51,85,89
1, 6,51,73,78,80,81
1, 26,54,55,73,86,90
1, 6,9,32,47,59,60
1, 5,35,38,75,82,86
1, 2,6,27,29,38,55
1, 1,2,4,19,26,89
1, 1,3,42,48,73,83
1, 25,45,63,71,74,88
1, 1,39,40,52,54,64
1, 32,48,50,55,58,86
1, 19,44,57,69,71,87
1, 16,19,24,36,39,81
1, 24,34,56,72,79,88
1, 14,18,38,41,74,78
1, 4,23,56,63,71,89
1, 1,21,29,40,63,70
1, 3,37,54,65,87,89
1, 3,9,42,50,56,88
1, 18,48,57,59,84,87
1, 4,8,20,21,44,80
1, 9,35,45,77,85,87
1, 23,32,38,40,51,71
1, 7,35,36,41,45,88
1, 3,10,18,25,50,68
1, 14,19,22,66,80,90
1, 1,10,47,50,52,74
1, 9,15,17,34,73,83
1, 10,13,45,51,65,88
1, 24,32,56,59,76,81
1, 16,39,65,67,83,86
1, 18,24,46,47,69,70
1, 4,12,33,52,85,87
1, 12,33,49,58,69,75
1, 7,23,39,48,69,75
1, 29,38,54,58,72,86
1, 5,19,26,32,67,87
1, 5,8,73,84,87,88
1, 1,38,47,50,58,65
1, 4,19,52,67,82,90
1, 6,10,22,48,61,65
1, 30,59,72,74,77,78
1, 24,41,44,56,73,90
1, 1,20,24,27,46,60
1, 10,16,20,57,65,89
1, 8,36,75,76,79,83
1, 42,44,51,64,65,77
1, 10,16,40,55,66,77
1, 11,25,63,72,76,87
1, 6,26,37,38,55,73
1, 6,8,28,29,32,73
1, 7,33,38,51,53,67
1, 13,16,41,49,58,76
1, 12,21,57,68,86,88
1, 4,18,41,52,79,82
1, 7,57,60,67,69,90
1, 14,59,64,75,80,83
1, 12,46,52,55,65,90
1, 13,18,25,26,35,61
1, 5,11,40,45,58,75
1, 19,29,37,46,64,75
1, 6,25,42,59,78,89
1, 8,19,25,49,50,54
1, 51,53,63,75,76,87
1, 10,65,77,80,81,86
1, 24,29,40,71,74,78
1, 1,7,56,70,88,90
1, 8,30,34,39,42,58
1, 5,17,53,56,61,83
1, 28,38,41,58,67,80
1, 39,43,56,61,65,81
1, 52,54,70,80,82,84
1, 38,39,42,49,55,81
1, 15,29,38,44,67,74
1, 33,41,49,50,73,87
1, 6,16,35,52,53,69
1, 21,44,46,49,58,67
1, 1,29,49,53,56,74
1, 4,5,46,47,73,82
1, 2,68,77,81,83,84
1, 24,31,37,45,71,81
1, 1,31,48,75,78,81
1, 10,14,17,56,65,84
1, 40,41,45,51,52,79
1, 18,34,58,60,64,88
1, 12,32,43,46,58,77
1, 7,22,33,48,86,87
1, 2,12,26,30,65,74
1, 6,13,17,52,64,82
1, 3,8,10,22,32,50
1, 20,27,28,46,64,85
1, 12,15,34,43,55,75
1, 10,16,35,39,64,65
1, 4,25,43,45,71,90
1, 6,38,50,63,65,74
1, 4,5,21,26,42,79
1, 20,23,24,29,66,73
1, 38,58,65,66,72,88
1, 9,43,50,51,57,83
1, 9,12,14,61,79,90
1, 17,20,48,62,85,90
1, 8,28,34,63,86,90
1, 8,43,61,62,70,86
1, 37,47,69,75,86,88
1, 18,23,45,51,61,86
1, 1,10,55,61,72,77
1, 37,40,70,71,75,80
1, 8,36,40,45,67,79
1, 5,19,20,26,53,54
1, 29,31,56,57,76,79
1, 23,24,49,69,70,72
1, 20,22,24,40,51,80
1, 4,23,35,54,72,88
1, 1,45,48,69,70,89
1, 6,24,30,34,37,71
1, 15,38,48,74,75,80
1, 25,46,48,52,57,81
1, 9,22,41,49,52,53
1, 3,20,21,43,69,70
1, 9,41,46,47,53,77
1, 20,30,47,69,77,83
1, 20,36,39,41,72,76
1, 18,33,51,66,87,90
1, 13,17,29,32,35,49
1, 3,4,5,47,55,80
1, 1,30,32,45,69,83
1, 3,8,16,64,72,73
1, 15,61,66,67,76,79
1, 20,40,44,53,66,72
1, 12,41,64,75,82,84
1, 13,68,75,79,87,88
1, 31,51,55,66,73,78
1, 14,17,21,31,33,69
1, 1,9,27,36,68,70
1, 5,7,13,33,66,79
1, 6,10,13,17,22,46
1, 1,4,50,66,69,77
1, 15,20,32,43,45,54
1, 5,31,36,68,75,90
1, 1,31,44,59,64,77
1, 8,16,39,63,84,86
1, 10,45,58,66,83,85
1, 10,11,27,45,79,88
1, 36,55,62,66,81,85
1, 7,22,46,50,55,73
1, 12,42,44,46,52,86
1, 4,17,52,59,67,84
1, 5,39,43,53,63,82
1, 3,21,63,81,87,89
1, 2,5,20,43,64,83
1, 12,14,23,36,72,87
1, 19,37,54,65,67,70
1, 4,16,29,58,69,88
1, 7,19,25,68,71,85
1, 1,10,26,28,29,62
1, 14,42,68,69,80,85
1, 2,8,24,36,80,84
1, 14,25,44,54,78,89
1, 24,35,39,60,72,75
1, 19,20,32,64,87,89
1, 40,44,49,57,58,87
1, 30,52,55,65,71,80
1, 6,29,30,78,81,88
1, 25,32,64,74,85,90
1, 7,11,48,49,64,72
1, 1,30,67,68,71,80
1, 9,39,49,64,65,72
1, 8,39,55,56,57,63
1, 13,40,41,56,82,87
1, 15,30,37,52,61,87
1, 18,34,41,43,46,55
1, 1,23,30,60,70,74
1, 21,38,63,70,71,83
1, 12,26,27,46,65,77
1, 5,12,16,44,71,75
1, 20,30,45,50,76,86
1, 5,26,49,50,73,90
1, 9,19,54,73,83,90
1, 21,28,60,68,71,88
1, 20,63,66,74,75,77
1, 3,12,16,30,84,89
1, 5,10,47,59,66,73
1, 14,37,48,55,84,87
1, 50,51,57,59,64,74
1, 30,36,45,49,63,89
1, 19,43,59,60,67,79
1, 5,44,45,53,73,89
1, 8,14,16,18,56,60
1, 6,25,46,59,71,83
1, 26,32,42,46,78,82
1, 28,41,55,69,79,82
1, 3,14,50,59,82,84
1, 3,27,29,46,47,61
1, 7,12,19,21,60,81
1, 9,11,17,38,81,88
1, 4,29,70,82,86,88
1, 3,36,40,42,54,59
1, 6,25,26,52,86,88
1, 1,3,6,42,81,83
1, 8,16,42,64,72,74
1, 4,26,59,63,69,74
1, 23,27,39,41,52,64
1, 19,47,69,71,86,87
1, 8,26,32,44,82,86
1, 11,20,24,31,40,49
1, 34,36,61,62,78,88
1, 22,24,30,58,60,89
1, 32,40,45,47,56,71
1, 13,28,31,58,59,79
1, 19,32,33,57,65,75
1, 26,29,35,81,82,87
1, 52,58,61,62,65,69
1, 7,38,66,67,71,88
1, 7,20,35,37,57,70
1, 7,18,27,80,81,83
1, 1,25,28,39,51,89
1, 35,36,43,46,69,75
1, 5,21,26,45,47,49
1, 21,23,32,35,36,72
1, 3,33,45,57,78,80
1, 5,8,32,43,59,85
1, 10,11,20,41,55,83
1, 30,44,47,48,53,56
1, 19,33,45,50,54,86
1, 3,6,41,44,48,73
1, 15,16,20,23,24,87
1, 12,19,24,51,56,78
1, 23,30,33,67,69,71
1, 14,22,36,53,59,66
1, 15,35,42,45,55,77
1, 10,21,23,35,55,89
1, 13,45,70,72,81,84
1, 1,22,24,44,47,79
1, 1,2,34,54,79,88
1, 21,22,25,53,76,85
1, 3,21,33,45,47,85
1, 6,31,63,74,75,85
1, 4,14,31,68,70,74
1, 27,44,48,57,77,83
1, 5,6,18,34,42,72
1, 2,5,8,65,74,77
1, 2,45,59,70,75,82
1, 1,2,11,56,57,75
1, 4,17,52,55,56,67
1, 36,42,46,51,72,84
1, 2,21,37,39,41,64
1, 13,18,47,51,60,64
1, 1,10,16,51,76,89
1, 15,25,58,61,83,86
1, 11,24,46,48,68,82
1, 8,30,38,51,62,66
1, 7,10,23,33,68,85
1, 5,48,71,84,85,87
1, 1,2,18,27,43,47
1, 4,14,40,41,54,79
1, 22,36,60,64,71,80
1, 41,51,61,66,75,88
1, 1,4,50,70,71,76
1, 49,51,53,56,58,81
1, 19,22,31,41,54,87
1, 32,37,52,53,66,83
1, 6,11,21,30,58,63
1, 4,25,30,40,41,62
1, 9,22,61,67,84,85
1, 12,19,22,53,72,88
1, 7,37,40,53,55,62
1, 8,11,14,39,46,51
1, 13,25,33,53,75,83
1, 11,38,44,48,56,83
1, 11,18,42,44,45,83
1, 40,47,59,64,79,89
1, 12,26,27,42,66,89
1, 33,41,47,48,60,80
1, 8,10,23,35,40,46
1, 12,22,53,54,60,77
1, 4,8,19,39,63,70
1, 28,30,39,46,68,89
1, 2,26,30,32,63,89
1, 10,12,27,39,78,84
1, 21,33,69,73,81,84
1, 15,42,65,68,70,90
1, 7,12,36,73,77,85
1, 13,33,39,56,65,86
1, 6,22,31,37,38,51
1, 35,42,62,67,76,78
1, 16,19,61,69,72,84
1, 50,61,62,71,72,74
1, 6,19,26,27,52,65
1, 15,23,51,52,77,90
1, 9,26,27,40,51,69
1, 46,48,63,68,83,85
1, 25,32,34,54,64,83
1, 15,27,31,52,74,77
1, 49,55,57,64,70,77
1, 10,26,31,36,72,85
1, 13,18,19,49,78,87
1, 5,53,64,74,77,88
1, 11,22,39,52,55,63
1, 5,11,23,47,58,60
1, 12,27,54,68,73,76
1, 32,58,63,70,75,81
1, 2,24,49,56,76,78
1, 8,23,58,61,76,79
1, 19,47,56,57,70,71
1, 26,30,38,55,69,75
1, 15,16,79,80,84,88
1, 5,22,60,71,74,81
1, 27,28,56,67,75,86
1, 17,36,62,67,70,87
1, 29,33,40,47,54,87
1, 2,23,24,70,81,90
1, 7,39,45,47,55,80
1, 8,9,10,18,42,63
1, 2,3,15,16,24,67
1, 11,23,47,48,80,87
1, 22,30,43,62,70,71
1, 4,15,22,34,77,87
1, 8,19,46,49,73,85
1, 16,21,51,64,65,89
1, 15,19,26,34,67,69
1, 10,29,50,59,79,80
1, 25,32,43,52,65,78
1, 27,31,45,61,74,79
1, 5,32,39,50,59,77
1, 42,47,55,57,61,79
1, 11,18,40,58,81,87
1, 10,13,42,54,66,81
1, 15,21,55,60,70,90
1, 56,64,72,81,83,86
1, 17,21,23,31,33,37
1, 24,35,38,61,70,86
1, 14,15,16,27,56,57
1, 26,28,48,52,55,90
1, 7,13,19,65,86,88
1, 2,33,41,56,62,74
1, 21,23,33,46,61,76
1, 35,41,47,74,77,85
1, 9,19,27,53,78,81
1, 2,8,27,30,35,87
1, 6,16,44,45,89,90
1, 28,42,46,56,74,87
1, 35,37,41,43,51,88
1, 33,36,39,50,65,70
1, 4,26,27,74,77,84
1, 8,38,48,66,70,86
1, 18,38,43,57,73,88
1, 8,16,59,61,78,90
1, 7,10,24,31,81,84
1, 4,10,18,53,75,80
1, 7,40,54,64,69,71
1, 29,42,56,65,80,90
1, 14,15,39,47,53,76
1, 37,38,56,62,70,83
1, 21,23,28,48,49,54
1, 10,27,37,57,66,78
1, 1,2,40,52,67,82
1, 1,34,46,51,60,75
1, 11,26,41,45,75,77
1, 18,21,24,28,74,77
1, 14,42,45,49,71,86
1, 14,20,57,79,85,88
1, 2,13,18,51,52,55
1, 13,18,21,31,41,56
1, 3,7,48,67,87,90
1, 9,18,39,63,64,85
1, 3,18,34,37,40,47
1, 8,12,36,62,68,81
1, 19,41,43,48,73,81
1, 8,23,48,56,59,78
1, 22,56,60,62,79,87
1, 2,8,9,29,53,75
1, 3,35,45,47,54,70
1, 10,26,53,66,70,78
1, 6,11,28,43,56,83
1, 5,30,31,55,57,70
1, 11,14,39,63,73,75
1, 5,11,17,21,28,63
1, 11,28,38,49,66,77
1, 5,15,59,65,70,82
1, 26,38,40,66,76,81
1, 15,27,47,51,62,63
1, 20,22,36,68,81,87
1, 5,25,44,54,65,70
1, 1,8,14,27,83,87
1, 8,18,25,38,41,43
1, 17,19,32,41,52,87
1, 22,26,42,44,58,83
1, 4,8,11,36,55,83
1, 8,12,27,72,80,84
1, 11,32,36,52,63,66
1, 21,45,55,61,73,80
1, 2,10,30,43,56,83
1, 8,21,24,25,27,75
1, 4,49,54,73,79,83
1, 18,23,31,38,47,51
1, 18,39,61,68,74,75
1, 6,57,58,66,76,80
1, 17,39,41,47,77,83
1, 17,40,50,73,74,82
1, 13,16,42,61,63,81
1, 8,24,32,34,65,86
1, 45,67,70,80,81,89
1, 3,24,31,32,61,85
1, 18,27,49,59,81,88
1, 6,8,15,18,33,75
1, 4,7,9,19,55,58
1, 1,9,40,59,73,74
1, 23,31,33,39,74,84
1, 11,14,43,46,61,70
1, 3,22,38,70,77,81
1, 5,24,32,78,80,83
1, 26,33,53,61,73,82
1, 8,12,14,66,76,88
1, 5,24,28,41,51,73
1, 11,30,55,76,77,90
1, 18,38,39,45,57,90
1, 3,4,19,39,73,78
1, 1,13,17,31,58,62
1, 15,30,33,35,87,88
1, 10,42,48,67,83,84
1, 11,34,46,58,77,82
1, 15,17,24,31,80,86
1, 7,32,58,60,66,69
1, 4,8,51,72,74,88
1, 9,16,19,26,28,46
1, 15,20,57,72,76,89
1, 20,47,56,64,66,67
1, 11,27,47,50,58,82
1, 19,21,27,47,59,88
1, 5,28,33,64,81,84
1, 19,23,39,54,79,87
1, 1,8,41,68,69,73
1, 18,22,28,33,57,71
1, 33,35,47,51,62,89
1, 5,33,44,46,66,76
1, 16,23,28,33,43,86
1, 8,17,36,37,60,65
